t,x0,x1,x2,x3,x4,x5
128,1.0076478,1.649759,1.0624105,1.1758355,0.7513901,0.7193823
129,0.97189254,1.6612178,1.0728604,1.1628114,0.769079,0.7073419
130,0.9371657,1.6697568,1.0853369,1.1489954,0.78729254,0.69671345
131,0.9036081,1.6752703,1.0998145,1.1345655,0.80595565,0.68745947
132,0.87133765,1.6776814,1.1162599,1.1196972,0.82498944,0.6795435
133,0.84045,1.6769433,1.1346319,1.1045616,0.84431124,0.6729305
134,0.81102055,1.6730382,1.1548803,1.0893234,0.86383474,0.66758704
135,0.78310597,1.6659782,1.176945,1.0741405,0.8834708,0.66348195
136,0.756746,1.6558032,1.2007556,1.0591624,0.9031279,0.6605859
137,0.7319657,1.6425807,1.2262298,1.0445294,0.92271256,0.6588716
138,0.7087771,1.6264043,1.2532732,1.0303729,0.9421304,0.65831405
139,0.6871812,1.6073911,1.2817786,1.0168145,0.9612866,0.6588899
140,0.66716963,1.5856811,1.3116243,1.0039662,0.980087,0.6605776
141,0.64872676,1.5614341,1.3426752,0.9919307,0.9984389,0.663357
142,0.63183063,1.5348281,1.3747811,0.98080176,1.0162522,0.6672092
143,0.61645496,1.506056,1.4077777,0.97066414,1.0334402,0.67211586
144,0.60256994,1.4753239,1.441486,0.96159464,1.0499208,0.678059
145,0.5901436,1.4428484,1.4757131,0.9536623,1.0656176,0.68502057
146,0.5791427,1.4088537,1.510253,0.94692904,1.0804602,0.6929819
147,0.5695333,1.3735687,1.5448873,0.94145024,1.0943863,0.70192313
148,0.5612817,1.3372251,1.5793867,0.9372753,1.1073419,0.7118227
149,0.5543547,1.3000543,1.6135129,0.9344478,1.119282,0.7226568
150,0.54872024,1.2622852,1.6470196,0.9330064,1.1301715,0.7343987
151,0.5443472,1.2241416,1.6796557,0.93298477,1.1399862,0.74701846
152,0.5412062,1.1858402,1.7111669,0.9344119,1.1487123,0.76048183
153,0.5392688,1.1475885,1.7412983,0.9373123,1.1563475,0.7747501
154,0.5385083,1.1095831,1.7697976,0.94170606,1.162901,0.78977954
155,0.538899,1.0720085,1.7964169,0.9476086,1.1683931,0.8055208
156,0.54041624,1.0350351,1.8209167,0.9550304,1.1728553,0.8219184
157,0.54303616,0.9988192,1.8430678,0.96397686,1.17633,0.83891076
158,0.5467351,0.9635015,1.8626547,0.9744476,1.17887,0.85642976
159,0.55148953,0.92920744,1.8794782,0.98643583,1.1805375,0.87440044
160,0.55727524,0.8960466,1.8933581,0.9999278,1.181404,0.8927415
161,0.5640672,0.8641131,1.9041356,1.014902,1.181549,0.91136503
162,0.57183874,0.83348596,1.9116759,1.0313277,1.1810589,0.93017733
163,0.58056134,0.80422956,1.9158701,1.0491651,1.1800267,0.9490789
164,0.59020376,0.7763947,1.9166368,1.0683632,1.17855,0.96796584
165,0.6007317,0.7500192,1.9139245,1.0888593,1.1767306,0.98673034
166,0.6121073,0.72512907,1.9077115,1.1105784,1.1746732,1.0052618
167,0.6242886,0.70173967,1.8980078,1.1334319,1.172484,1.0234486
168,0.6372294,0.6798567,1.8848549,1.1573168,1.1702703,1.0411792
169,0.6508785,0.6594774,1.8683258,1.1821158,1.1681386,1.0583436
170,0.66517997,0.6405917,1.8485246,1.2076966,1.1661943,1.0748359
171,0.6800728,0.6231832,1.8255852,1.2339116,1.1645402,1.0905553
172,0.69549114,0.60723037,1.79967,1.2605995,1.1632761,1.1054082
173,0.71136427,0.59270746,1.7709676,1.2875844,1.1624975,1.1193101
174,0.72761726,0.57958513,1.7396903,1.3146781,1.1622955,1.1321875
175,0.7441712,0.5678316,1.7060714,1.3416809,1.162755,1.1439787
176,0.76094425,0.557413,1.6703614,1.368384,1.1639555,1.1546363
177,0.777852,0.54829425,1.632825,1.3945715,1.1659689,1.1641271
178,0.794809,0.54043937,1.5937364,1.4200232,1.1688607,1.1724341
179,0.8117293,0.5338118,1.5533758,1.4445171,1.1726879,1.1795557
180,0.82852805,0.52837497,1.5120254,1.4678328,1.1774999,1.1855069
181,0.8451222,0.5240922,1.4699647,1.4897546,1.1833371,1.1903186
182,0.86143225,0.5209272,1.4274682,1.5100749,1.1902313,1.1940368
183,0.8773829,0.5188439,1.3847998,1.5285971,1.1982049,1.1967223
184,0.8929044,0.5178065,1.3422116,1.5451392,1.2072709,1.1984485
185,0.90793353,0.51777965,1.2999398,1.5595361,1.2174321,1.1993011
186,0.92241424,0.51872826,1.2582031,1.571642,1.2286823,1.1993755
187,0.9362985,0.5206174,1.2172011,1.5813334,1.241004,1.1987756
188,0.94954675,0.52341235,1.1771125,1.5885099,1.2543702,1.1976116
189,0.96212816,0.5270782,1.1380948,1.5930961,1.268743,1.195998
190,0.97402066,0.5315803,1.1002841,1.5950421,1.2840747,1.1940523
191,0.98521113,0.5368837,1.0637952,1.5943236,1.3003066,1.191893
192,0.9956948,0.5429531,1.0287224,1.5909425,1.31737,1.1896373
193,1.0054753,0.549753,0.99513996,1.5849255,1.3351865,1.1874006
194,1.0145636,0.5572478,0.963104,1.5763237,1.3536676,1.1852945
195,1.0229778,0.5654015,0.93265355,1.5652109,1.3727157,1.1834263
196,1.0307424,0.5741777,0.90381193,1.5516821,1.3922244,1.181897
197,1.0378872,0.5835401,0.87658876,1.5358515,1.4120793,1.1808017
198,1.0444468,0.59345216,0.8509813,1.5178505,1.432159,1.1802284
199,1.05046,0.6038776,0.8269761,1.497825,1.452335,1.1802572
200,1.0559683,0.6147803,0.8045508,1.4759339,1.4724742,1.1809604
201,1.061016,0.62612474,0.7836753,1.4523453,1.4924389,1.1824027
202,1.0656487,0.637876,0.7643134,1.4272352,1.5120884,1.1846399
203,1.0699133,0.65000004,0.7464238,1.4007849,1.5312804,1.1877198
204,1.073857,0.66246414,0.72996134,1.3731776,1.5498722,1.1916819
205,1.0775266,0.67523706,0.71487796,1.3445977,1.5677222,1.196557
206,1.0809686,0.68828905,0.70112383,1.3152275,1.5846913,1.2023681
207,1.084228,0.70159256,0.68864757,1.2852459,1.6006442,1.2091297
208,1.0873485,0.7151219,0.6773973,1.2548262,1.6154513,1.2168479
209,1.0903718,0.7288541,0.6673211,1.2241352,1.6289893,1.2255206
210,1.0933377,0.74276835,0.65836716,1.193331,1.6411432,1.2351379
211,1.0962832,0.7568468,0.65048456,1.1625626,1.651807,1.2456815
212,1.0992429,0.7710742,0.6436232,1.1319687,1.6608852,1.2571251
213,1.1022487,0.78543824,0.6377342,1.1016772,1.6682936,1.2694343
214,1.1053292,0.79992956,0.63276994,1.0718045,1.6739601,1.282567
215,1.1085099,0.81454164,0.6286844,1.0424553,1.6778255,1.296473
216,1.1118134,0.8292707,0.625433,1.0137228,1.6798441,1.3110948
217,1.1152585,0.8441158,0.6229729,0.9856885,1.6799842,1.3263669
218,1.1188604,0.8590786,0.6212629,0.9584224,1.678228,1.3422171
219,1.1226311,0.87416315,0.6202636,0.9319837,1.6745719,1.3585663
220,1.1265785,0.88937587,0.6199373,0.906421,1.6690261,1.375329
221,1.1307067,0.90472513,0.62024826,0.88177276,1.6616153,1.3924136
222,1.1350161,0.92022103,0.6211627,0.8580683,1.6523765,1.4097238
223,1.1395029,0.9358753,0.6226487,0.83532816,1.6413604,1.4271585
224,1.1441593,0.9517006,0.6246764,0.81356496,1.6286292,1.4446131
225,1.1489735,0.9677108,0.62721807,0.79278404,1.6142563,1.4619805
226,1.1539291,0.9839198,0.63024825,0.7729842,1.5983253,1.4791517
227,1.1590064,1.000342,0.6337435,0.7541585,1.5809288,1.4960177
228,1.1641808,1.0169915,0.6376831,0.7362948,1.5621672,1.5124695
229,1.1694242,1.0338815,0.6420484,0.71937656,1.5421474,1.5284008
230,1.1747044,1.0510244,0.64682364,0.70338345,1.5209818,1.5437078
231,1.1799858,1.068431,0.6519954,0.6882919,1.4987862,1.5582916
232,1.185229,1.0861104,0.65755314,0.6740756,1.4756795,1.5720583
233,1.1903914,1.1040691,0.663489,0.66070634,1.4517814,1.5849214
234,1.1954281,1.122311,0.669798,0.6481541,1.4272115,1.5968015
235,1.2002914,1.140837,0.67647797,0.6363876,1.4020883,1.6076285
236,1.2049317,1.159644,0.6835297,0.6253749,1.3765275,1.6173413
237,1.2092984,1.1787255,0.69095683,0.6150837,1.3506417,1.6258894
238,1.2133397,1.1980702,0.6987659,0.6054814,1.3245385,1.633233
239,1.2170042,1.2176621,0.70696634,0.59653586,1.2983204,1.6393428
240,1.2202408,1.2374804,0.7155703,0.5882154,1.2720839,1.6442013
241,1.2230003,1.2574984,0.72459257,0.58048904,1.2459188,1.6478016
242,1.2252352,1.2776843,0.7340506,0.5733268,1.2199079,1.6501482
243,1.2269013,1.298,0.7439642,0.56670016,1.1941266,1.6512552
244,1.227958,1.3184016,0.7543555,0.5605817,1.1686428,1.6511477
245,1.2283692,1.3388387,0.7652486,0.5549459,1.1435167,1.6498593
246,1.2281041,1.3592553,0.7766693,0.5497688,1.118801,1.6474322
247,1.2271378,1.3795888,0.7886452,0.5450285,1.0945408,1.6439165
248,1.2254516,1.3997709,0.8012049,0.54070514,1.0707743,1.6393682
249,1.2230341,1.4197273,0.8143781,0.536781,1.0475323,1.6338493
250,1.219881,1.4393789,0.82819486,0.53324074,1.0248393,1.6274261
251,1.2159957,1.4586409,0.8426856,0.5300713,1.0027136,1.6201683
252,1.211389,1.4774251,0.85788035,0.5272623,0.9811674,1.6121478
253,1.20608,1.4956387,0.8738085,0.52480555,0.96020806,1.603438
254,1.200095,1.5131868,0.89049816,0.5226958,0.9398378,1.5941124
255,1.1934681,1.529972,0.90797555,0.5209303,0.9200547,1.584244
256,1.1862401,1.5458957,0.9262648,0.519509,0.9008528,1.5739044
257,1.1784585,1.56086,0.9453869,0.5184346,0.882223,1.5631628
258,1.1701766,1.5747675,0.9653593,0.5177124,0.8641532,1.5520858
259,1.1614535,1.5875231,0.98619515,0.51735044,0.84662896,1.5407363
