t,z0,z1,z2,z3,z4,z5
158,-0.6037908,-0.037181236,0.6220027,-0.025884533,0.16455631,-0.15498298
159,-0.5951324,-0.07342328,0.6309942,-0.013656991,0.16596983,-0.13421682
160,-0.584696,-0.109762855,0.638352,-7.2155606e-05,0.16670358,-0.113458216
161,-0.5725819,-0.1460516,0.6440281,0.014792026,0.16682626,-0.09281173
162,-0.5588982,-0.18213841,0.6479803,0.03084709,0.16641146,-0.07238005
163,-0.5437598,-0.21787049,0.6501718,0.047994763,0.16553706,-0.05226331
164,-0.5272875,-0.25309423,0.650572,0.06612777,0.16428487,-0.03255844
165,-0.5096069,-0.28765646,0.6491558,0.08513071,0.16273993,-0.013358492
166,-0.49084774,-0.32140556,0.64590436,0.10488103,0.16098997,0.0052480483
167,-0.4711425,-0.35419273,0.64080477,0.1252501,0.15912466,0.023177942
168,-0.45062563,-0.3858732,0.6338508,0.14610423,0.1572348,0.04035387
169,-0.42943233,-0.41630757,0.62504274,0.16730589,0.15541162,0.056705073
170,-0.40769768,-0.44536301,0.6143878,0.18871483,0.15374574,0.07216802
171,-0.3855554,-0.47291476,0.60190064,0.21018934,0.15232636,0.08668699
172,-0.363137,-0.498847,0.58760333,0.23158741,0.15124024,0.100214645
173,-0.3405706,-0.52305436,0.57152605,0.25276792,0.15057078,0.11271254
174,-0.3179801,-0.54544276,0.5537071,0.2735918,0.15039691,0.12415155
175,-0.29548413,-0.5659304,0.5341933,0.2939232,0.15079224,0.1345123
176,-0.2731952,-0.5844489,0.51304,0.3136305,0.15182406,0.14378539
177,-0.25121897,-0.60094315,0.49031162,0.33258727,0.15355246,0.15197161
178,-0.22965345,-0.61537284,0.46608117,0.35067326,0.1560295,0.159082
179,-0.20858833,-0.62771195,0.4404305,0.36777508,0.1592985,0.16513786
180,-0.1881046,-0.6379491,0.41345003,0.383787,0.16339345,0.1701705
181,-0.16827402,-0.64608765,0.38523847,0.3986114,0.16833852,0.17422104
182,-0.14915887,-0.65214497,0.35590237,0.41215923,0.17414768,0.17733991
183,-0.13081178,-0.65615225,0.3255556,0.4243504,0.18082452,0.17958638
184,-0.11327574,-0.65815365,0.29431868,0.43511403,0.18836229,0.18102783
185,-0.096584104,-0.6582055,0.26231793,0.4443884,0.19674389,0.18173897
186,-0.080760874,-0.6563751,0.2296846,0.45212096,0.20594227,0.18180102
